Zion Williamson,SF,Freshman,Duke,22.6,0.68,0.34,0.64,2.1,8.9,2.1,1.8,2.4,0.88,0.88,0.75,1.72,0.71,2.1,33
Ja Morant,PG,Sophomore,Murray St.,24.5,0.50,0.36,0.81,10.0,5.7,1.8,0.8,5.2,1.92,0.35,0.15,1.52,0.55,1.5,33
De'Andre Hunter,SF,Sophomore,Virginia,15.2,0.52,0.42,0.78,2.0,5.0,0.6,0.6,1.3,1.54,0.46,0.46,1.46,0.58,2.0,37
Jarrett Culver,SG,Sophomore,Texas Tech,18.6,0.47,0.32,0.70,3.7,6.3,1.5,0.5,2.7,1.37,0.56,0.19,1.30,0.52,1.9,37
RJ Barrett,SG,Freshman,Duke,22.6,0.46,0.31,0.67,4.3,7.6,0.9,0.4,3.2,1.34,0.28,0.13,1.23,0.51,1.8,38
Coby White,PG,Freshman,North Carolina,16.1,0.43,0.37,0.80,4.1,3.6,1.1,0.3,2.7,1.52,0.41,0.11,1.27,0.52,1.9,34
Jaxson Hayes,C,Freshman,Texas,10,0.73,0.00,0.74,0.3,5.0,0.6,2.2,0.9,0.33,0.67,2.44,1.89,0.73,3.3,32
Bol Bol,C,Freshman,Oregon,21,0.56,0.52,0.76,1.0,9.6,0.8,2.7,2.0,0.50,0.40,1.35,1.43,0.61,1.7,9
Cam Reddish,SF,Freshman,Duke,13.5,0.36,0.33,0.77,1.9,3.7,1.6,0.6,2.7,0.70,0.59,0.22,1.12,0.46,2.4,36
Brandon Clarke,PF,Junior,Gonzaga,16.9,0.69,0.27,0.69,1.9,8.6,1.2,3.2,1.5,1.27,0.80,2.13,1.68,0.69,2.1,37
Darius Garland,PG,Freshman,Vanderbilt,16.2,0.54,0.48,0.75,2.6,3.8,0.8,0.4,3.0,0.87,0.27,0.13,1.50,0.64,1.4,5
Keldon Johnson,SF,Freshman,Kentucky,13.5,0.46,0.38,0.70,1.6,5.9,0.8,0.2,1.6,1.00,0.50,0.13,1.34,0.52,2.2,37
Rui Hachimura,PF,Junior,Gonzaga,19.7,0.59,0.42,0.74,1.5,6.5,0.9,0.7,1.8,0.83,0.50,0.39,1.57,0.61,2.0,37
Sekou Doumbouya,SF,International,Limoges CSP (France),6.1,0.50,0.31,0.72,0.6,2.8,0.6,0.4,1.3,0.46,0.46,0.31,N/A,N/A,2.4,27
Bruno Fernando ,C,Sophomore,Maryland,13.6,0.61,0.30,0.78,2.0,10.6,0.6,1.9,2.8,0.71,0.21,0.68,1.62,0.61,2.7,34
Goga Bitadze,C,International,Mega Bemax (Georgia),14.7,0.60,0.40,0.68,0.9,6.3,0.5,2.2,1.7,0.53,0.29,1.29,N/A,N/A,3.7,35
Romeo Langford,SG,Freshman,Indiana,16.5,0.45,0.27,0.72,2.3,5.4,0.8,0.8,2.1,1.10,0.38,0.38,1.34,0.49,1.9,32
Nickeil Alexander-Walker,SG,Sophomore,Virginia Tech,16.4,0.48,0.38,0.78,3.9,4.2,1.9,0.5,2.8,1.39,0.68,0.18,1.38,0.55,2.3,33
Nassir Little,SF,Freshman,North Carolina,10,0.49,0.28,0.78,0.7,4.7,0.5,0.5,1.3,0.54,0.38,0.38,1.31,0.51,1.7,35
Grant Williams,PF,Junior,Tennessee,18.8,0.57,0.34,0.82,3.1,7.5,1.2,1.5,2.3,1.35,0.52,0.65,1.70,0.58,2.9,36
KZ Okpala,SF,Sophomore,Stanford,16.8,0.46,0.37,0.67,2.0,5.7,1.0,0.5,2.9,0.69,0.34,0.17,1.33,0.51,2.5,29
PJ Washington,PF,Sophomore,Kentucky,15.2,0.52,0.42,0.66,1.8,7.5,0.8,1.2,2.0,0.90,0.40,0.60,1.46,0.57,2.5,35
Jontay Porter,C,Sophomore,Missouri,9.9,0.44,0.36,0.75,2.2,6.8,0.8,1.7,1.9,1.16,0.42,0.89,1.37,0.52,2.9,33
Kevin Porter Jr.,SG,Freshman,USC,9.5,0.47,0.41,0.52,1.4,4.0,0.8,0.5,1.9,0.74,0.42,0.26,1.27,0.56,2.1,21
Charles Bassey,C,Freshman,Western Kentucky,14.6,0.63,0.45,0.77,0.7,10.0,0.8,2.4,2.9,0.24,0.28,0.83,1.65,0.64,2.6,34
Chuma Okeke,PF,Sophomore,Auburn,12,0.50,0.39,0.72,1.9,6.8,1.8,1.2,1.7,1.12,1.06,0.71,1.35,0.58,1.9,38
Daniel Gafford,C,Sophomore,Arkansas,16.9,0.66,0.00,0.59,0.7,8.7,0.9,2.0,2.4,0.29,0.38,0.83,1.67,0.66,2.8,32
Tre Jones,PG,Freshman,Duke,9.4,0.41,0.26,0.76,5.3,3.8,1.9,0.2,1.5,3.53,1.27,0.13,1.06,0.46,1.6,36
Ty Jerome,PG,Junior,Virginia,13.6,0.44,0.40,0.73,5.4,4.2,1.6,0.0,1.7,3.18,0.94,0.00,1.24,0.54,1.8,36
